,last
0,24869
1,24866
2,24878
3,24873
4,24867
5,24862
6,24868
7,24882
8,24871
9,24865
10,24865
11,24877
12,24867
13,24870
14,24866
15,24864
16,24864
17,24864
18,24862
19,24862
20,24861
21,24862
22,24864
23,24864
24,24864
25,24867
26,24866
27,24861
28,24868
29,24867
30,24870
31,24870
32,24873
33,24871
34,24878
35,24881
36,24884
37,24890
38,24887
39,24889
40,24893
41,24892
42,24892
43,24890
44,24886
45,24893
46,24893
47,24893
48,24894
49,24896
50,24899
51,24898
52,24900
53,24900
54,24900
55,24900
56,24898
57,24898
58,24899
59,24898
60,24899
61,24901
62,24908
63,24907
64,24907
65,24910
66,24911
67,24905
68,24907
69,24909
70,24914
71,24915
72,24915
73,24911
74,24914
75,24921
76,24924
77,24922
78,24924
79,24923
80,24927
81,24931
82,24936
83,24934
84,24936
85,24943
86,24942
87,24938
88,24931
89,24931
90,24930
91,24928
92,24927
93,24925
94,24928
95,24929
96,24930
97,24928
98,24931
99,24931
100,24933
101,24932
102,24931
103,24933
104,24936
105,24944
106,24949
107,24950
108,24948
109,24946
110,24942
111,24945
112,24946
113,24942
114,24943
115,24942
116,24940
117,24940
118,24938
119,24937
120,24935
121,24936
122,24936
123,24936
124,24937
125,24936
126,24935
127,24934
128,24937
129,24935
130,24935
131,24940
132,24938
133,24939
134,24937
135,24937
136,24936
137,24938
138,24939
139,24939
140,24939
141,24943
142,24944
143,24948
144,24950
145,24952
146,24952
147,24955
148,24957
149,24955
150,24957
151,24957
152,24957
153,24960
154,24958
155,24960
156,24964
157,24959
158,24961
159,24965
160,24966
161,24964
162,24964
163,24963
164,24965
165,24967
166,24965
167,24968
168,24970
169,24970
170,24969
171,24967
172,24966
173,24967
174,24965
175,24965
176,24964
177,24968
178,24967
179,24969
180,24972
181,24973
182,24973
183,24973
184,24974
185,24977
186,24978
187,24978
188,24981
189,24980
190,24979
191,24981
192,24985
193,24989
194,24994
195,24986
196,24987
197,24984
198,24985
199,24986
200,24981
201,24980
202,24980
203,24978
204,24979
205,24977
206,24977
207,24977
208,24977
209,24978
210,24976
211,24977
212,24976
213,24975
214,24976
215,24977
216,24977
217,24977
218,24981
219,24982
220,24987
221,24985
222,24987
223,24985
224,24983
225,24983
226,24981
227,24982
228,24982
229,24981
230,24981
231,24980
232,24979
233,24978
234,24982
235,24983
236,24986
237,24985
238,24987
239,24986
240,24989
241,24990
242,24990
243,24991
244,24992
245,24991
246,24992
247,24995
248,24996
249,24995
250,24996
251,24997
252,24998
253,24995
254,24997
255,24995
256,24995
257,24996
258,24994
259,24993
260,24993
261,24993
262,24993
263,24992
264,24993
265,24996
266,24994
267,24994
268,24995
269,24995
270,24994
271,24993
272,24993
273,24994
274,24994
275,24995
276,24996
277,24994
278,24992
279,24992
280,24993
281,24994
282,24997
283,24997
284,24997
285,24997
286,24997
287,24996
288,24997
289,24998
290,24998
291,24998
292,24999
293,24999
294,24996
295,24995
296,24995
297,24993
298,24993
299,24993
300,24993
301,24994
302,24994
303,24994
304,24996
305,24992
306,24990
307,24993
308,24993
309,24989
310,24988
311,24986
312,24985
313,24986
314,24987
315,24985
316,24985
317,24985
318,24984
319,24984
320,24984
321,24983
322,24985
323,24989
324,24989
325,24992
326,24995
327,24994
328,24993
329,24994
330,24992
331,24993
332,24992
333,24990
334,24985
335,24988
336,24989
337,24986
338,24983
339,24985
340,24987
341,24983
342,24983
343,24987
344,24987
345,24989
346,24995
347,24995
348,24992
349,24995
350,24996
351,24996
352,24997
353,24997
354,24998
355,24998
356,24998
357,24999
358,24997
359,24999
360,25000
361,25000
362,25000
363,25000
364,24999
365,24998
366,24997
367,24999
368,24998
369,24998
370,24999
371,24997
372,24995
373,24997
374,24994
375,24995
376,24998
377,24998
378,24996
379,24996
380,24997
381,24997
382,24993
383,24992
384,24995
385,24993
386,24993
387,24992
388,24991
389,24989
390,24992
391,24992
392,24995
393,24997
394,24998
395,24999
396,24999
397,25000
398,25000
399,25000
400,25000
401,25001
402,25002
403,25002
404,25002
405,25002
406,25001
407,25003
408,25002
409,25001
410,25000
411,24996
412,24992
413,24991
414,24990
415,24992
416,24993
417,24993
418,24998
419,24999
420,25001
421,25004
422,25005
423,25005
424,25006
425,25008
426,25005
427,25007
428,25010
429,25008
430,25010
431,25011
432,25015
433,25018
434,25017
435,25019
436,25021
437,25022
438,25025
439,25022
440,25021
441,25019
442,25017
443,25016
444,25016
445,25012
446,25017
447,25018
448,25022
449,25022
450,25019
451,25017
452,25019
453,25018
454,25020
455,25023
456,25025
457,25020
458,25022
459,25021
460,25019
461,25015
462,25010
463,25004
464,25000
465,25000
466,25007
467,25007
468,25006
469,25004
470,25000
471,24999
472,24998
473,24997
474,24998
475,24996
476,24994
477,24994
478,24995
479,25000
480,25005
481,25008
482,25008
483,25011
484,25010
485,25007
486,25001
487,25000
488,24998
489,24997
490,24994
491,24995
492,24998
493,24995
494,24995
495,24994
496,24993
497,24995
498,24996
499,24996
500,24999
501,25000
502,25002
503,25002
504,25005
505,25002
506,25002
507,25003
508,25002
509,25001
510,25000
511,25001
512,25000
513,25001
514,24998
515,24998
516,24996
517,24996
518,24999
519,24998
520,24999
521,24998
522,24996
523,24995
524,24997
525,24998
526,24997
527,24999
528,25000
529,25002
530,24999
531,25001
532,24999
533,24997
534,24995
535,24994
536,24998
537,24999
538,24999
539,24999
540,24999
541,25000
542,25004
543,24998
544,24997
545,24999
546,25003
547,25004
548,25007
549,25008
550,25008
551,25006
552,25002
553,25000
554,25004
555,25000
556,24999
557,24997
558,24997
559,24994
560,24996
561,24998
562,24998
563,25002
564,24999
565,24998
566,24999
567,25000
568,24999
569,25001
570,25001
571,25001
572,25002
573,24999
574,24998
575,24999
576,24997
577,25001
578,25001
579,25000
580,25000
581,24996
582,24999
583,24995
584,24999
585,24996
586,24995
587,24993
588,24992
589,24992
590,24993
591,24995
592,24996
593,24995
594,24993
595,24994
596,24990
597,24990
598,24989
599,24988
600,24989
601,24985
602,24985
603,24986
604,24986
605,24985
606,24982
607,24983
608,24985
609,24987
610,24989
611,24988
612,24989
613,24986
614,24988
615,24989
616,24990
617,24990
618,24990
619,24991
620,24990
621,24989
622,24984
623,24987
624,24986
625,24982
626,24982
627,24979
628,24979
629,24978
630,24976
631,24974
632,24980
633,24975
634,24973
635,24972
636,24971
637,24970
638,24972
639,24975
640,24979
641,24975
642,24972
643,24969
644,24968
645,24965
646,24963
647,24963
648,24965
649,24964
650,24961
651,24962
652,24963
653,24963
654,24968
655,24969
656,24971
657,24974
658,24973
659,24970
660,24972
661,24972
662,24978
663,24975
664,24978
665,24980
666,24980
667,24974
668,24972
669,24968
670,24962
671,24961
672,24962
673,24966
674,24965
675,24962
676,24963
677,24963
678,24959
679,24963
680,24962
681,24960
682,24965
683,24963
684,24960
685,24959
686,24959
687,24960
688,24963
689,24963
690,24967
691,24969
692,24972
693,24976
694,24975
695,24976
696,24979
697,24979
698,24980
699,24983
700,24984
701,24983
702,24982
703,24982
704,24979
705,24978
706,24975
707,24979
708,24975
709,24980
710,24981
711,24980
712,24980
713,24982
714,24984
715,24983
716,24985
717,24984
718,24985
719,24982
720,24982
721,24979
722,24978
723,24982
724,24982
725,24982
726,24984
727,24985
728,24986
729,24988
730,24990
731,24992
732,24991
733,24993
734,24995
735,24995
736,24996
737,24994
738,24998
739,24999
740,25000
741,24999
742,25003
743,25007
744,25004
745,25003
746,25006
747,25005
748,25007
749,25009
750,25010
751,25008
752,25009
753,25007
754,25005
755,25006
756,25007
757,25012
758,25014
759,25013
760,25011
761,25013
762,25012
763,25007
764,25010
765,25010
766,25010
767,25009
768,25009
769,25006
770,25005
771,25001
772,25000
773,24998
774,24994
775,24996
776,24996
777,24999
778,25000
779,24998
780,24995
781,24996
782,24996
783,24999
784,24999
785,25000
786,24997
