Date,CL,HO,HU,NG,LMAH,HG,GC,LMZS,SI,LMPB,PL,LMNI,LMSN,PA,W,C,CT,S,LC,KC,RR,BO,LH,SB,JE,CC,OL,JN,LB,WA,RS,JO,O,ZH,SM
19980101,17.64,49.08,52.81,2.264,1552,76.9,289.9,1107,5.933,564,370.8,6070,5420,203.15,325.75,265,67.07,670.5,66.45,162.45,10.72,24.79,57.7,12.22,12130,1630,794,81.7,282.9,143.7,380.9,80,149.75,4150,203.8
19980102,17.43,49.41,53.26,2.153,1552,76.2,289.4,1107,5.9,564,368,6070,5420,202.95,330.75,262.75,67.11,660.5,64.95,162.45,10.64,24.84,57.525,12.22,12130,1630,789,81.7,288.8,142.9,379.3,80,150.25,4150,199.6
19980105,16.89,47.92,51.86,2.207,1502,75.35,282.7,1082,5.873,559,364.4,5925,5370,203.05,331,265.75,67.54,667.25,63.925,170.7,10.52,24.79,57.2,12.02,12290,1596,793,78.2,283,144.5,381.6,78.4,153.25,4156,200.4
19980106,16.91,47.76,52.35,2.182,1504,75.4,282.3,1084,6.015,560,356.6,5820,5375,200,324.5,262.25,68.49,661.25,64.125,161.4,10.29,24.26,57.4,11.96,12210,1587,780,74,282.2,144.5,380.7,77.5,150.75,4081,199
19980107,16.82,47.33,51.94,2.145,1504,75,284.7,1089,5.973,562,363.5,5800,5290,205.3,329,263.5,67.73,669.75,64.225,162.1,10.33,24.5,57.65,11.82,12000,1614,757,72.8,284.3,145.2,380.5,77.75,151.75,4072,198.9
19980108,16.97,47.75,52.62,2.046,1492,74.6,281.8,1120,5.728,580,362.1,5810,5300,209.4,320.5,258.5,66.9,659.75,64.225,167.85,10.29,24.52,56.45,11.86,11890,1598,761,72.7,279.7,144.6,381.3,77.75,149.5,4080,194.3
19980109,16.63,46.7,52.81,2.046,1490,74.15,279.1,1087,5.593,570,364.1,5770,5245,215.4,321,259.75,66.04,664,64.25,162.05,10.27,24.6,57.025,11.79,11810,1564,753,73.6,278.6,143.7,382.3,78.9,148.5,4101,195.4
19980112,16.47,46.21,52.03,2.002,1472,74,278.9,1077,5.44,546,365.1,5685,5105,224.4,321.75,258.25,65.58,664.75,64.175,159.7,10.08,24.38,57.6,11.46,11980,1541,732,76.6,278.2,143,381.9,86.15,147.75,4109,196.7
19980113,16.43,46.09,51.39,2.014,1504,76.1,283.8,1124,5.653,547,375.2,5700,5230,236.4,334,270.25,65.46,671,65.15,164.45,10.21,24.52,57.9,11.51,12160,1536,752,74.1,280.2,144.5,387,87.6,151.5,4181,198.4
19980114,16.45,46.28,51.05,2.016,1512,76.5,282.4,1142,5.658,542,391.5,5725,5205,239.55,329.5,273.75,65.88,664.75,65.4,164.8,10.26,24.48,57.55,11.54,12300,1547,750,77.4,285.5,144.4,382,89.05,150,4181,195.4
19980115,16.34,46.23,50.39,2.094,1507,77.2,286.4,1132,5.783,527,391.6,5605,5200,249,333.75,277.25,65.97,667.25,65.45,168.2,10.42,24.48,56.5,11.17,12300,1538,737,77.4,274.5,144.1,385,97.1,150,4181,198.5
19980116,16.51,46.75,50.99,2.176,1498,76.3,291.1,1152,5.758,528,377.6,5590,5185,240,334.25,277,66.18,667,66.425,167.05,10.49,24.55,56.25,11.2,12320,1552,735,79.9,294.7,144,384.6,94,150.75,4200,197.3
19980119,16.51,46.75,50.99,2.176,1503,76.3,291.1,1116,5.758,513,377.6,5440,5140,240,334.25,277,66.18,667,66.425,167.05,10.49,24.55,56.25,11.2,12390,1552,730,80.6,294.7,144.5,385.2,94.35,150.75,4302,197.3
19980120,16.42,46.39,50.85,2.115,1497,76.1,291.3,1146,5.643,528,378.5,5430,5170,230.85,332,278.25,66.38,678,65.95,178.05,10.43,25.25,57.325,11.12,12390,1594,718,85.2,284.7,144.3,395,94.1,151.25,4300,202.2
19980121,16.42,46.25,50.01,2.084,1505,76.5,293.3,1138,5.773,524,382.5,5455,5180,233.5,330,276,66.13,660,65.95,177.5,10.405,25.18,57.15,11.28,12590,1583,698,85,285.5,143,395,95.2,149.75,4300,199.8
19980122,16.42,45.62,49.42,2.16,1526,78,291.3,1149,5.689,526,387.1,5400,5250,236.25,331,276,65.49,676,65.9,176.85,10.67,25.59,58.85,11.27,12870,1591,691,85,280.9,140.3,395.1,99.1,150.25,4304,196.1
19980123,15.74,44.44,49.52,2.117,1540,78.4,300.3,1185,5.864,531,387.2,5595,5265,231.2,334.25,275.5,64.77,670.25,66.7,178.8,10.605,25.76,58.85,11.23,13100,1591,689,85.7,287.2,138.8,394.8,98,147.75,4313,193.4
19980126,16.82,47.19,51.81,2.064,1532.5,78.8,297.1,1158,5.909,525,386.6,5430,5240,233,341.75,279,64.98,674.75,66.35,173.35,10.585,25.87,58.4,11.18,13030,1598,689,89,288.7,139.3,394.1,98.15,148,4500,194.7
19980127,16.98,47.25,52.06,2.042,1545,80.4,300.7,1171,6.074,528,392.5,5345,5250,231.55,341.25,276.5,65.15,679.5,65.25,170.8,10.56,25.79,57.825,11.03,13280,1645,680,91.8,298.7,140.2,396.6,97.9,149.25,4500,198.2
19980128,17.31,47.76,52.96,2.001,1530,79.85,306,1132,6.024,525,390.7,5335,5230,232,341.25,277.5,66.08,681,64.95,175.75,10.56,25.5,58,11.23,13480,1594,685,94.5,308.7,140.6,397.2,98.2,149,4490,199.1
