DaysToMat,Strike,MarketPrice,Mispriced
2,1235,59,FALSE
2,1240,54.3,FALSE
2,1245,49.3,FALSE
2,1250,44.6,FALSE
2,1255,39.8,FALSE
2,1260,35.3,FALSE
2,1265,30.5,FALSE
2,1270,26.1,FALSE
2,1275,21.9,FALSE
2,1280,17.9,FALSE
2,1285,14.2,FALSE
2,1290,10.9,FALSE
2,1295,8,FALSE
2,1300,5.6,FALSE
2,1305,3.6,FALSE
2,1310,2.1,FALSE
2,1315,1.25,FALSE
2,1320,0.6,FALSE
2,1325,0.4,FALSE
2,1330,0.25,FALSE
2,1335,0.2,FALSE
2,1340,0.1,FALSE
2,1345,0.1,FALSE
2,1350,0.1,FALSE
2,1375,0.05,FALSE
8,1250,48.8,FALSE
8,1255,44.2,FALSE
8,1260,40.2,FALSE
8,1265,36,FALSE
8,1270,31.8,FALSE
8,1275,28.1,FALSE
8,1280,24.2,FALSE
8,1285,20.7,FALSE
8,1290,17.6,FALSE
8,1295,14.4,FALSE
8,1300,11.5,FALSE
8,1305,9.3,FALSE
8,1310,7.3,FALSE
8,1315,5.4,FALSE
8,1320,4.1,FALSE
8,1325,3,FALSE
8,1330,1.5,FALSE
8,1335,1.2,FALSE
8,1340,0.6,FALSE
8,1345,0.45,FALSE
8,1350,0.3,FALSE
8,1355,0.25,FALSE
8,1360,0.15,FALSE
8,1365,0.15,FALSE
8,1370,0.15,FALSE
24,1275,36.1,FALSE
24,1280,32.5,FALSE
24,1285,29.2,FALSE
24,1290,26,FALSE
24,1295,22.9,FALSE
24,1300,20.2,FALSE
24,1305,17.6,FALSE
24,1310,15.1,FALSE
24,1315,12.3,FALSE
24,1320,10.5,FALSE
24,1325,8.8,FALSE
24,1330,7.4,FALSE
24,1335,5.8,FALSE
24,1340,4.6,FALSE
24,1345,3.7,FALSE
24,1350,2.5,FALSE
24,1355,2.1,FALSE
24,1360,1.65,FALSE
24,1365,0.95,FALSE
24,1370,0.9,FALSE
24,1375,0.5,FALSE
24,1380,0.5,FALSE
24,1385,0.4,FALSE
24,1390,0.4,FALSE
24,1395,0.2,FALSE
59,1240,73.7,FALSE
59,1250,66.7,FALSE
59,1260,59.1,FALSE
59,1270,52.2,FALSE
59,1275,48.8,FALSE
59,1280,45.6,FALSE
59,1290,39.4,FALSE
59,1300,33.6,FALSE
59,1310,28.3,FALSE
59,1320,23,FALSE
59,1325,20.8,FALSE
59,1330,18.7,FALSE
59,1340,15.1,FALSE
59,1350,11,FALSE
59,1355,9.9,FALSE
59,1360,8,FALSE
59,1365,7.5,FALSE
59,1370,6.2,FALSE
59,1375,5.1,FALSE
59,1380,4.2,FALSE
59,1390,2.8,FALSE
59,1400,1.8,FALSE
59,1410,1.55,FALSE
59,1420,0.9,FALSE
59,1425,0.85,FALSE
87,1125,176.3,FALSE
87,1150,154.2,FALSE
87,1175,132.8,FALSE
87,1190,120.1,FALSE
87,1200,111.9,FALSE
87,1225,92.9,FALSE
87,1250,73.9,FALSE
87,1275,57.3,FALSE
87,1300,41,FALSE
87,1325,29.5,FALSE
87,1350,18.3,FALSE
87,1365,14.1,FALSE
87,1375,10.8,FALSE
87,1400,5.7,FALSE
87,1425,2.95,FALSE
87,1450,1.25,FALSE
87,1475,0.65,FALSE
87,1500,0.4,FALSE
87,1525,0.3,FALSE
87,1550,0.3,FALSE
87,1600,0.25,FALSE
87,1650,0.2,FALSE
87,1700,0.25,FALSE
87,1800,0.25,FALSE
